label-texr,label
กรรมการผู้จัดการและผู้บริหารระดับสูง,1120
ข้าราชการระดับอาวุโส,1112
คนกวาดถนนและผู้ใช้แรงงานที่เกี่ยวข้อง,9613
คนงาน และผู้ช่วยทำความสะอาดสำนักงาน โรงแรม  และสถานประกอบการอื่นๆ,9112
คนงานก่อสร้างอาคาร  สิ่งปลูกสร้าง,9313
คนงานก่อสร้างและบำรุงรักษาถนน  เขื่อน  และงานวิศวกรรมโยธาอื่นๆ ที่คล้ายกัน,9312
คนงานขนถ่ายสินค้า,9333
คนงานขับเคลื่อนยานพาหนะและเครื่องจักรต่าง ๆ ที่ลากจูงโดยสัตว์,9332
คนงานขับเคลื่อนยานพาหนะโดยใช้มือหรือเท้า,9331
คนงานคัดแยกขยะ,9612
คนงานซักรีดเสื้อผ้าด้วยมือ,9121
คนงานด้านการผลิต  ซึ่งมิได้จัดประเภทไว้ในที่อื่น,9329
คนงานทำความสะอาดยานพาหนะ,9122
คนงานทำความสะอาดอื่นๆ,9129
คนงานบรรจุผลิตภัณฑ์ด้วยมือ,9321
คนงานประมงและเพาะเลี้ยงสัตว์น้ำ,9216
คนงานปลูกพืชผัก,9211
คนงานปลูกพืชร่วมกับเลี้ยงสัตว์,9213
คนงานปลูกพืชสวนและไม้ดอกไม้ประดับ ,9214
คนงานป่าไม้,9215
คนงานรับจ้างทั่วไป,9622
คนงานเติมสินค้าบนชั้นวาง,9334
คนงานเลี้ยงสัตว์,9212
คนงานเหมืองแร่และเหมืองหิน,9311
คนงานและผู้ช่วยทำความสะอาดที่พักอาศัย,9111
คนจดมาตรวัดและเก็บเงินจากเครื่องจำหน่ายสินค้าอัตโนมัติ,9623
คนเก็บขยะและวัสดุที่สามารถนำกลับมาใช้ใหม่,9611
ครูผู้ช่วย,5312
ครูสอนการศึกษาพิเศษ,2352
ครูสอนขับรถ,5165
ครูสอนดนตรีอื่น,2354
ครูสอนภาษาอื่น,2353
ครูสอนระดับปฐมวัย,2342
ครูสอนระดับประถมศึกษา,2341
ครูสอนระดับมหาวิทยาลัยและระดับอุดมศึกษา,2310
ครูสอนระดับมัธยมศึกษา,2330
ครูสอนระดับอาชีวศึกษา,2320
ครูสอนศิลปะอื่นๆ,2355
ช่างก่อสร้างที่อยู่อาศัย,7111
ช่างก่อสร้างโครงสร้างอาคาร  สิ่งปลูกสร้าง  และผู้ปฏิบัติงานที่เกี่ยวข้อง  ซึ่งมิได้จัดประเภทไว้ในที่อื่น,7119
ช่างก่ออิฐและผู้ปฏิบัติงานที่เกี่ยวข้อง,7112
ช่างขัดเงาโลหะ  ช่างเจียระไนโลหะ และช่างลับเครื่องมือ,7224
ช่างงานหัตถกรรม   ซึ่งมิได้จัดประเภทไว้ในที่อื่น,7319
ช่างงานหัตถกรรมสิ่งทอ  เครื่องหนัง  และวัสดุที่เกี่ยวข้อง,7318
ช่างงานหัตถกรรมไม้  เครื่องจักสาน และวัสดุที่เกี่ยวข้อง,7317
ช่างฉาบปูนและตกแต่งงานปูน,7123
ช่างซ่อมรถจักรยานและผู้ปฏิบัติงานที่เกี่ยวข้อง,7234
ช่างตกแต่งงานพิมพ์และเข้าเล่ม,7323
ช่างตกแต่งหนังสัตว์ ช่างฟอกหนัง  และช่างถากหนังขูดขนสัตว์,7535
ช่างตัดเย็บเสื้อผ้า   ช่างทำเสื้อผ้าขนสัตว์  และช่างทำหมวก,7531
ช่างตัดแต่งขนสัตว์เลี้ยงและพนักงานดูแลสัตว์เลี้ยง,5164
ช่างติดกระจก,7125
ช่างติดตั้งฉนวน,7124
ช่างติดตั้งเครื่องยกและฟั่นต่อสายเคเบิล,7215
ช่างติดตั้งและซ่อมสายส่งกระแสไฟฟ้า,7413
ช่างติดตั้งและผู้ให้บริการด้านอุปกรณ์เทคโนโลยีสารสนเทศและการสื่อสาร,7422
ช่างถ่ายภาพ,3431
ช่างทาสีและผู้ปฏิบัติงานที่เกี่ยวข้อง,7131
ช่างทำความสะอาดโครงสร้างอาคาร  สิ่งปลูกสร้าง,7133
ช่างทำรองเท้าและผู้ปฏิบัติงานที่เกี่ยวข้อง,7536
ช่างทำเครื่องดนตรีและปรับเสียงดนตรี,7312
ช่างทำเครื่องปั้นดินเผาและผู้ปฏิบัติงานที่เกี่ยวข้อง,7314
ช่างทำเครื่องมือและผู้ปฏิบัติงานที่เกี่ยวข้อง,7222
ช่างทำเครื่องเพชรพลอยและรูปพรรณ  และโลหะมีค่า,7313
ช่างทำเครื่องแก้ว  ช่างตัด  ช่างเจียระไน  และช่างตกแต่งเครื่องแก้ว,7315
ช่างทำเฟอร์นิเจอร์ไม้และผู้ปฏิบัติงานที่เกี่ยวข้อง,7522
ช่างทำแบบหล่อโลหะและแกนแบบหล่อโลหะ,7211
ช่างทำและซ่อมเครื่องมือที่มีความเที่ยงตรงแม่นยำ,7311
ช่างประปาและวางท่อ,7126
ช่างปรับตั้งและใช้เครื่องจักรงานไม้,7523
ช่างปรับตั้งและใช้เครื่องมือกลงานโลหะ,7223
ช่างปูพื้นและกระเบื้อง,7122
ช่างฝีมืออื่นๆ  และผู้ปฏิบัติงานที่เกี่ยวข้อง  ซึ่งมิได้จัดประเภทไว้ในที่อื่น,7549
ช่างพิมพ์,7322
ช่างพ่นสีและขัดเงา,7132
ช่างมุงหลังคา,7121
ช่างสร้างแบบและตัดวัสดุเพื่อผลิตเครื่องแต่งกายและสิ่งของที่เกี่ยวข้อง,7532
ช่างหล่อเทคอนกรีต  ตกแต่งผิวซีเมนต์  และผู้ปฏิบัติงานที่เกี่ยวข้อง,7114
ช่างหิน ตัดหิน  เจาะสกัดหิน  และแกะหิน,7113
ช่างหุ้มเบาะและผู้ปฏิบัติงานที่เกี่ยวข้อง,7534
ช่างอัดน้ำยาและอบไม้,7521
ช่างเขียนเครื่องหมาย ช่างลงสี  ช่างแกะสลัก  และช่างกัดลายแก้ว,7316
ช่างเขียนแบบ,3118
ช่างเครื่องระบบปรับอากาศและระบบทำความเย็น,7127
ช่างเครื่องและช่างซ่อมเครื่องยนต์ยานยนต์,7231
ช่างเครื่องและช่างปรับอุปกรณ์ไฟฟ้า,7412
ช่างเครื่องและช่างปรับเครื่องจักรกลทางการเกษตรหรืออุตสาหกรรม,7233
ช่างเครื่องและช่างปรับเครื่องยนต์อากาศยาน,7232
ช่างเครื่องและผู้ให้บริการด้านอุปกรณ์อิเล็กทรอนิกส์,7421
ช่างเชื่อมและช่างตัดโลหะด้วยเปลวไฟ,7212
ช่างเดินสายไฟภายในอาคารและอุปกรณ์ไฟฟ้าที่เกี่ยวข้อง,7411
ช่างเตรียมและติดตั้งโครงสร้างโลหะ,7214
ช่างเทคนิคควบคุมกระบวนการผลิตโลหะ,3135
ช่างเทคนิคควบคุมกระบวนการอื่นๆ  ซึ่งมิได้จัดประเภทไว้ในที่อื่น,3139
ช่างเทคนิคควบคุมเครื่องจักรโรงงานกลั่นปิโตรเลียมและก๊าซธรรมชาติ,3134
ช่างเทคนิคควบคุมเครื่องจักรโรงงานผลิตพลังงาน,3131
